,original_language,poster_path,release_date,genre_ids_x,video,original_title,id,title,vote_average,adult,vote_count,backdrop_path,popularity,overview,cast,director,keywords,genre_ids_y,name
547,de,/6D7nfhHI7b9ZvW3m7wVMtBSbC9U.jpg,2021-09-10,[53],False,Prey,853588,Zwierzyna,4.6,False,184,/3cetvzRrg8l94hWwt0rRyaISPMQ.jpg,77.224,"Thriller o grupie przyjaciół, którzy stają się zwierzyną łowną podczas wieczoru kawalerskiego.","['David Kross', 'Hanno Koffler', 'Maria Ehrich']",['Thomas Sieben'],"['hunting', 'bachelorette party']",[53],['Thriller']
548,en,/mqG4ADmxWfTsR0bO5hGWsHHqUJY.jpg,2014-11-22,"[10751, 16, 12, 35]",False,Penguins of Madagascar,270946,Pingwiny z Madagaskaru,6.5,False,3285,/msnknPOg9dx86b0YozXOFP8PgBI.jpg,77.05,"Antarktyda. Skipper, Kowalski i Rico są pingwinami. Niespodziewanie im oczom ukazuje się jajko, z którego wykluwa się nowy, mały ptak-nielot, Szeregowy. Mija 10 lat, a światu zagraża niejaki dr Oktawiusz Mackiewicz przybierający postać ośmiornicy Dave'a. Nieloty wraz z pomocą zespołu Północny Wiatr łączą siły i postanawiają powstrzymać złowrogiego doktora. Jeśli ich misja się nie powiedzie, świat będzie należał do głowonoga.","['Tom McGrath', 'Chris Miller', 'Christopher Knights']","['Eric Darnell', 'Simon J. Smith']","['spy', 'wolf', 'zoo']","[12, 35, 16, 10751]","['Przygodowy', 'Komedia', 'Animacja', 'Familijny']"
549,en,/iuUxXng5JNmRPxxFEd3MWFmNsSG.jpg,2015-08-20,"[28, 80, 53]",False,Hitman: Agent 47,249070,Hitman: Agent 47,5.8,False,2429,/yRtZmZa2bmDYaOKygG7IaroSXwg.jpg,66.536,"Tytułowego agenta 47 zaprojektowano genetycznie, by był najbardziej skutecznym zabójcą w historii. Jest znany tylko z ostatnich dwóch cyfr kodu, który wytatuowano mu na karku. Obdarzony niezwykłą siłą, szybkością i inteligencją jest niepokonaną maszyną do zabijania. Musi stawić czoło ogromnej korporacji, która planuje odkryć jego przeszłość i stworzyć armię super zabójców. Łączy siły z młodą kobietą, która może mu pomóc i razem wypowiadają wojnę śmiertelnemu wrogowi.","['Rupert Friend', 'Zachary Quinto', 'Hannah Ware']",['Aleksander Bach'],"['assassin', 'secret identity', 'intelligence']","[28, 80, 53]","['Akcja', 'Kryminał', 'Thriller']"
550,en,/eKMSbiw8BEzLPTuPItvkh5vQj7u.jpg,2015-09-21,"[10751, 16, 35, 14]",False,Hotel Transylvania 2,159824,Hotel Transylwania 2,6.8,False,4572,/mfnkxXWuh2Br097Qteq8ieqKfev.jpg,68.236,"Film ""Hotel Transylwania 2"" to kontynuacja przeboju z 2012 roku, opowiadającego o hotelu prowadzonym przez hrabiego Drakulę. Za reżyserie odpowiada twórca pierwszej części Genndy Tartakovsky, a głównym postacią głosu użyczą m.in. Adam Sandler, Selena Gomez oraz Steve Buscemi.","['Adam Sandler', 'Andy Samberg', 'Selena Gomez']",['Genndy Tartakovsky'],"['transylvania', 'hotel', 'witch']","[35, 16, 10751, 14]","['Komedia', 'Animacja', 'Familijny', 'Fantasy']"
551,en,/AglSZv6IMzWHozdzsndKMvpsI0b.jpg,2007-05-17,"[14, 12, 16, 35, 10751]",False,Shrek the Third,810,Shrek Trzeci,6.2,False,7012,/lxbKrBo1wZ2U9BS1jiZyNe3qI4J.jpg,69.475,"Historii zielonego ogra ciąg dalszy. Ojciec Fiony zaakceptował ostatecznie swojego zięcia, zdecydował nawet, że Shrek i Fiona mają pełnić obowiązki panującej pary królewskiej. Oboje nie czują jednak się w tej roli najlepiej, a Shrek z miłą chęcią wróciłby na swoje bagno. Król postanawia więc, że jeśli odnajdą następcę tronu, który obejmie rządy i godnie ich zastąpi, będą mogli opuścić królestwo i żyć własnym życiem. Odpowiednim kandydatem na króla jest siostrzeniec królowej Lilian, książę Artie. Shrek wyrusza, razem ze swoimi wiernymi druhami: Osiołkiem i Kotem w butach, w daleką podróż, aby odnaleźć i przekonać zbuntowanego Artiego, że powinien zasiąść na tronie. Tymczasem, podczas nieobecności Shreka w królestwie, Książę z bajki przeprowadza zamach stanu. Fiona organizuje ruch oporu, który ma przeciwstawić się uzurpatorowi do czasu, aż Shrek, Osiołek, Kot w butach i przyszły król Artur powrócą z podróży.","['Mike Myers', 'Eddie Murphy', 'Cameron Diaz']",['Chris Miller'],"['ambush', 'sadness', 'stage']","[12, 35, 16, 10751, 14]","['Przygodowy', 'Komedia', 'Animacja', 'Familijny', 'Fantasy']"
552,en,/imekS7f1OuHyUP2LAiTEM0zBzUz.jpg,2017-05-30,"[28, 12, 14]",False,Wonder Woman,297762,Wonder Woman,7.3,False,17124,/AaABt75ZzfMGrscUR2seabz4PEX.jpg,68.62,"Księżniczka Amazonek, niezrównana wojowniczka Diana (Gal Gadot), wychowywała się na odciętej od świata rajskiej wyspie Themyscira. Pewnego dnia rozbija się tam amerykański myśliwiec. Ocalały z katastrofy pilot, Steve Trevor (Chris Pine), opowiada Dianie o straszliwym konflikcie, który toczy się na Ziemi. Poruszona jego słowami Diana porzuca dom, bo wierzy, że może zapobiec dalszemu rozlewowi krwi. W świecie ludzi księżniczka - jako Wonder Woman - odkrywa, jak wielką ma moc i jakie jest jej prawdziwe przeznaczenie...  [opis dystrybutora dvd]","['Gal Gadot', 'Chris Pine', 'Robin Wright']",['Patty Jenkins'],"['dc comics', 'hero', 'greek mythology']","[28, 12, 14]","['Akcja', 'Przygodowy', 'Fantasy']"
553,en,/sCoG0ibohbPrnyomtzegSuBL40L.jpg,2021-02-22,"[16, 35, 10751, 9648, 12, 14]",False,Scooby-Doo! The Sword and the Scoob,682254,Scooby Doo! i legenda miecza,7.9,False,128,/psTz3J2QXVKTQCGrPDFuC4kAOLb.jpg,76.927,"Zła czarodziejka przenosi gang z powrotem do epoki rycerskich rycerzy, czarodziejów rzucających zaklęcia i ziejących ogniem smoków.","['Frank Welker', 'Grey DeLisle', 'Matthew Lillard']","['Maxwell Atoms', 'Melchior Zwyer', 'Christina Sotta']","['friendship', 'friends', 'mystery']","[12, 35, 16, 10751, 14, 9648]","['Przygodowy', 'Komedia', 'Animacja', 'Familijny', 'Fantasy', 'Tajemnica']"
554,en,/fhvm1mXw6BubcpuHkTtVi3R5R5n.jpg,2018-07-19,"[28, 53, 80]",False,The Equalizer 2,345887,Bez Litości 2,6.6,False,3743,/z7noaCJ4KtmhwHw7QcNtnMMo4Qy.jpg,62.352,"Emerytowany tajny agent Robert McCall (Denzel Washington) powraca, by w wyszukany, charakterystyczny dla siebie sposób, walczyć o sprawiedliwość. Jest nieustraszony, inteligentny, a jego sprawność fizyczna sprawia, że dostaje to, czego chce. A chce sprawiedliwości.","['Denzel Washington', 'Pedro Pascal', 'Ashton Sanders']",['Antoine Fuqua'],"['rape', 'cia', 'martial arts']","[28, 80, 53]","['Akcja', 'Kryminał', 'Thriller']"
555,en,/qXrpRo85nmfL332tK5Ub8dZImDE.jpg,1996-11-27,"[10751, 35]",False,101 Dalmatians,11674,101 Dalmatyńczyków,5.9,False,2683,/scdEGYcHCf2v9dBheXtIVNu2NqW.jpg,68.17,"Anita i Roger poznają się dzięki czworonożnym pupilom. Znajomość przeradza się w miłość, nie tylko między ludźmi, lecz także między dalmatyńczykami. Wkrótce na świat przychodzi piętnaście nakrapianych szczeniaków. Szefowa Anity, demoniczna Cruella, zaczyna marzyć o futrze z dalmatyńczyków. Wynajmuje dwójkę opryszków, którzy mają za zadanie porwać pieski. Maluchy trafiają do gromady innych szczeniaków uwięzionych w domu Cruelli. Ich opiekunowie szybko organizują akcję ratunkową.","['Glenn Close', 'Jeff Daniels', 'Joely Richardson']",['Stephen Herek'],"['london, england', 'fur', 'fashion designer']","[35, 10751]","['Komedia', 'Familijny']"
556,en,/z4f5InR2PMAjqkqGW3AFrTkYaPw.jpg,2013-01-11,"[35, 27]",False,A Haunted House,139038,Dom bardzo nawiedzony,5.7,False,1351,/akKBMXHEesqfuoYFt7LaRptFAO0.jpg,63.771,"Malcolm i Keisha wprowadzają się do swojego wymarzonego domu. Jednakże, nie wszystko idzie po ich myśli, okazuje się bowiem, że oprócz nich, w domu mieszka ktoś jeszcze. Na domiar złego Keishe opętuje demon. Malcolm, chcąc zachować ciągłość swojego życia seksualnego próbuje wszelkimi metodami wypędzić złego ducha ze swojej ukochanej, prosi o pomoc między innymi księdza oraz drużynę pogromców duchów...","['Marlon Wayans', 'Essence Atkins', 'Nick Swardson']",['Michael Tiddes'],"['ghostbuster', 'haunted house', 'parody']","[35, 27]","['Komedia', 'Horror']"
